Syntax version=4
Sun Feb 01 15:04:32 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		MotorL.curOmega_Rad	MotorR.curOmega_Rad
D:	time(ms)	(0x20000114,6)	(0x20000094,6)
D:	782.12	12.202177	11.493824
D:	783.90	12.202177	11.493824
D:	785.64	11.961338	11.493824
D:	787.42	11.961338	11.331415
D:	789.28	11.961338	11.331415
D:	791.06	11.961338	11.331415
D:	792.83	11.961338	11.331415
D:	794.63	11.961338	11.331415
D:	796.38	12.157296	11.298934
D:	798.31	12.157296	11.298934
D:	800.20	12.157296	11.298934
D:	802.03	12.157296	11.298934
D:	803.77	12.157296	11.298934
D:	805.51	12.196488	11.298934
D:	807.29	12.196488	11.536564
D:	809.06	12.196488	11.536564
D:	810.88	12.196488	11.536564
D:	812.65	12.196488	11.536564
D:	814.41	12.196488	11.536564
D:	816.29	12.204327	11.339964
D:	818.07	12.204327	11.339964
D:	819.84	12.204327	11.339964
D:	821.53	12.204327	11.339964
D:	823.51	12.204327	11.339964
D:	825.23	12.204327	11.339964
D:	826.99	12.205894	11.300644
D:	828.77	12.205894	11.300644
D:	830.52	12.205894	11.300644
D:	832.28	12.205894	11.300644
D:	834.14	12.205894	11.300644
D:	835.89	12.450333	11.300644
D:	837.63	12.450333	11.292780
D:	839.39	12.450333	11.292780
D:	841.20	12.450333	11.292780
D:	843.06	12.450333	11.292780
D:	844.82	12.450333	11.292780
D:	846.56	12.255095	11.291206
D:	848.24	12.255095	11.291206
D:	850.08	12.255095	11.291206
D:	851.80	12.255095	11.291206
D:	853.57	12.255095	11.291206
D:	855.31	12.216048	11.291206
D:	857.01	12.216048	11.535019
D:	858.77	12.216048	11.535019
D:	860.50	12.216048	11.535019
D:	862.27	12.216048	11.535019
D:	863.97	12.216048	11.535019
D:	865.85	12.208239	11.535019
D:	867.65	12.208239	11.339655
D:	869.40	12.208239	11.339655
D:	871.20	12.208239	11.339655
D:	872.96	12.208239	11.339655
D:	874.77	12.208239	11.339655
D:	876.50	12.206676	11.544708
D:	878.25	12.206676	11.544708
D:	879.99	12.206676	11.544708
D:	881.81	12.206676	11.544708
D:	883.66	12.206676	11.544708
D:	885.38	12.206364	11.544708
D:	887.14	12.206364	11.341593
D:	889.13	12.206364	11.341593
D:	890.94	12.206364	11.341593
D:	892.68	12.206364	11.341593
D:	894.43	12.206364	11.341593
D:	896.19	12.206302	11.300969
D:	898.20	12.206302	11.300969
D:	900.03	12.206302	11.300969
D:	901.77	12.206302	11.300969
D:	903.63	12.206302	11.300969
D:	905.38	12.450415	11.300969
D:	907.25	12.450415	11.292845
D:	909.17	12.450415	11.292845
D:	911.01	12.450415	11.292845
D:	912.78	12.450415	11.292845
D:	914.62	12.450415	11.292845
D:	916.45	12.255112	11.535346
D:	918.25	12.255112	11.535346
D:	920.12	12.255112	11.535346
D:	922.12	12.255112	11.535346
D:	924.19	12.255112	11.535346
D:	925.97	12.460176	11.535346
D:	927.78	12.460176	11.339720
D:	929.58	12.460176	11.339720
D:	931.39	12.460176	11.339720
D:	933.31	12.460176	11.339720
D:	935.35	12.257064	11.339720
D:	937.17	12.257064	11.544722
D:	939.01	12.257064	11.544722
D:	940.89	12.257064	11.544722
D:	942.74	12.257064	11.544722
D:	944.46	12.257064	11.544722
D:	946.19	12.216442	11.341595
D:	948.04	12.216442	11.341595
D:	949.76	12.216442	11.341595
D:	951.36	12.216442	11.341595
D:	952.96	12.216442	11.341595
D:	954.55	12.216442	11.341595
D:	956.29	12.208317	11.300970
D:	958.31	12.208317	11.300970
D:	960.29	12.208317	11.300970
D:	962.21	12.208317	11.300970
D:	964.20	12.208317	11.300970
D:	966.06	12.206692	11.300970
D:	968.03	12.206692	11.536971
D:	970.10	12.206692	11.536971
D:	971.92	12.206692	11.536971
D:	973.67	12.206692	11.536971
D:	975.42	12.206367	11.536971
D:	977.24	12.206367	11.340045
D:	979.00	12.206367	11.340045
D:	980.77	12.206367	11.340045
D:	982.55	12.206367	11.340045
D:	984.36	12.206367	11.340045
D:	986.16	12.450428	11.340045
D:	987.93	12.450428	11.300660
D:	989.77	12.450428	11.300660
D:	991.53	12.450428	11.300660
D:	993.30	12.450428	11.300660
D:	995.03	12.450428	11.300660
D:	996.84	12.255115	11.536909
D:	998.85	12.255115	11.536909
D:	1000.69	12.255115	11.536909
D:	1002.40	12.255115	11.536909
D:	1004.22	12.255115	11.536909
D:	1006.02	12.460177	11.536909
D:	1007.78	12.460177	11.340033
D:	1009.56	12.460177	11.340033
D:	1011.31	12.460177	11.340033
D:	1013.09	12.460177	11.340033
D:	1014.90	12.460177	11.340033
D:	1016.79	12.257065	11.544784
D:	1018.59	12.257065	11.544784
D:	1020.33	12.257065	11.544784
D:	1022.06	12.257065	11.544784
D:	1023.82	12.257065	11.544784
D:	1025.55	12.216442	11.544784
D:	1027.32	12.216442	11.341608
D:	1029.16	12.216442	11.341608
D:	1031.05	12.216442	11.341608
D:	1032.89	12.216442	11.341608
D:	1034.75	12.216442	11.341608
D:	1036.55	12.208317	11.300972
D:	1038.28	12.208317	11.300972
D:	1040.06	12.208317	11.300972
D:	1041.82	12.208317	11.300972
D:	1043.55	12.208317	11.300972
D:	1045.32	12.206692	11.300972
D:	1047.17	12.206692	11.536972
D:	1049.12	12.206692	11.536972
D:	1050.99	12.206692	11.536972
D:	1052.81	12.206692	11.536972
D:	1054.79	12.206692	11.536972
D:	1056.58	12.450493	11.340045
D:	1058.56	12.450493	11.340045
D:	1060.49	12.450493	11.340045
D:	1062.55	12.450493	11.340045
D:	1064.41	12.450493	11.340045
D:	1066.32	12.255127	11.300660
D:	1068.15	12.255127	11.300660
D:	1070.01	12.255127	11.300660
D:	1071.78	12.255127	11.300660
D:	1073.75	12.255127	11.300660
D:	1075.55	12.460179	11.300660
D:	1077.38	12.460179	11.536909
D:	1079.19	12.460179	11.536909
D:	1081.03	12.460179	11.536909
D:	1082.90	12.460179	11.536909
D:	1084.78	12.460179	11.536909
D:	1086.54	12.257065	11.340033
D:	1088.32	12.257065	11.340033
D:	1090.13	12.257065	11.340033
D:	1091.91	12.257065	11.340033
D:	1093.77	12.257065	11.340033
D:	1095.47	12.216442	11.340033
D:	1097.26	12.216442	11.300657
D:	1099.06	12.216442	11.300657
D:	1100.88	12.216442	11.300657
D:	1102.66	12.216442	11.300657
D:	1104.44	12.216442	11.300657
D:	1106.22	12.208317	11.300657
D:	1108.06	12.208317	11.536909
D:	1109.82	12.208317	11.536909
D:	1111.53	12.208317	11.536909
D:	1113.29	12.208317	11.536909
D:	1115.15	12.208317	11.536909
D:	1116.93	12.206692	11.340033
D:	1118.65	12.206692	11.340033
