Syntax version=4
Sun Feb 01 15:04:19 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		MotorL.curOmega_Rad	MotorR.curOmega_Rad
D:	812.18	12.255112	11.536894
D:	813.97	12.255112	11.536894
D:	815.68	12.255112	11.536894
D:	817.38	12.255112	11.536894
D:	819.11	12.216051	11.536894
D:	820.86	12.216051	11.340030
D:	822.54	12.216051	11.340030
D:	824.28	12.216051	11.340030
D:	826.01	12.216051	11.340030
D:	827.75	12.216051	11.340030
D:	829.48	12.208239	11.340030
D:	831.22	12.208239	11.300657
D:	832.96	12.208239	11.300657
D:	834.88	12.208239	11.300657
D:	836.58	12.208239	11.300657
D:	838.27	12.208239	11.300657
D:	840.20	12.206676	11.536909
D:	842.00	12.206676	11.536909
D:	843.75	12.206676	11.536909
D:	845.45	12.206676	11.536909
D:	847.16	12.206676	11.536909
D:	848.86	12.206676	11.536909
D:	850.57	12.206364	11.340033
D:	852.31	12.206364	11.340033
D:	854.03	12.206364	11.340033
D:	855.75	12.206364	11.340033
D:	857.51	12.206364	11.340033
D:	859.21	12.206302	11.340033
D:	860.94	12.206302	11.300657
D:	862.65	12.206302	11.300657
D:	864.33	12.206302	11.300657
D:	866.26	12.206302	11.300657
D:	867.99	12.206302	11.300657
D:	869.66	12.206289	11.300657
D:	871.35	12.206289	11.536909
D:	873.16	12.206289	11.536909
D:	875.04	12.206289	11.536909
D:	876.76	12.206289	11.536909
D:	878.45	12.206289	11.536909
D:	880.16	12.206286	11.340033
D:	881.87	12.206286	11.340033
D:	883.58	12.206286	11.340033
D:	885.28	12.206286	11.340033
D:	886.96	12.206286	11.340033
D:	888.68	12.206286	11.340033
D:	890.43	12.206286	11.300657
D:	892.18	12.206286	11.300657
D:	893.95	12.206286	11.300657
D:	895.96	12.206286	11.300657
D:	897.85	12.206286	11.300657
D:	899.76	12.206286	11.300657
D:	901.49	12.206286	11.292782
D:	903.26	12.206286	11.292782
D:	904.95	12.206286	11.292782
D:	906.83	12.206286	11.292782
